,Unnamed: 0,thought,original_label,cleaned_thought,all-mpnet-base-v2 x,all-mpnet-base-v2 y,all-MiniLM-L12-v2 x,all-MiniLM-L12-v2 y,All-Distilroberta-v1 x,All-Distilroberta-v1 y,all-mpnet-base-v2 k-mean,all-MiniLM-L12-v2 k-mean,All-Distilroberta-v1 k-mean,all-mpnet-base-v2 aglo,all-MiniLM-L12-v2 aglo,All-Distilroberta-v1 aglo,all-mpnet-base-v2 hdbscan_manual,all-MiniLM-L12-v2 hdbscan_manual,All-Distilroberta-v1 hdbscan_manual
283,283,ill never be able to find a good job,"fortune telling,catastrophizing",ill never able find good job,9.112213,9.0752735,9.112213,9.0752735,9.112213,9.0752735,5,7,1,1,0,0,10,26,1
284,284,I am being disrespected,"labeling,disqualifying the positive,negative feeling or emotion",disrespected,6.4709735,9.279648,6.4709735,9.279648,6.4709735,9.279648,16,8,11,1,0,3,8,-1,-1
285,285,maybe she doesn't like me anymore.,mind reading,maybe doesnt like anymore,3.781855,5.471689,3.781855,5.471689,3.781855,5.471689,13,1,8,0,4,1,3,8,1
286,286,I'm always late , Overgeneralization,im always late,7.15246,7.5322585,7.15246,7.5322585,7.15246,7.5322585,7,3,6,1,2,0,12,35,1
287,287,I'm late for the meeting. Everyone will look down upon me , Mind reading,im late meeting everyone look upon,7.211569,7.4394727,7.211569,7.4394727,7.211569,7.4394727,7,3,6,1,2,0,12,35,-1
288,288,I'm late for the meeting. This shows what a jerk I am , Labeling,im late meeting show jerk,7.316204,7.4571624,7.316204,7.4571624,7.316204,7.4571624,7,3,6,1,2,0,12,35,-1
289,289,I'm late for the meeting. I'll make a fool of myself , Labeling,im late meeting ill make fool,7.2830887,7.4370375,7.2830887,7.4370375,7.2830887,7.4370375,7,3,6,1,2,0,12,35,-1
290,290,I'm late for the meeting. I never do anything right , Overgeneralization,im late meeting never anything right,7.263242,7.462932,7.263242,7.462932,7.263242,7.462932,7,3,6,1,2,0,12,35,1
291,291,My tire is flat. I'm so stupid , Labeling,tire flat im stupid,6.8301587,7.7467237,6.8301587,7.7467237,6.8301587,7.7467237,0,17,6,1,1,0,-1,-1,1
292,292,My tire is flat. I should have gotten a new tire last month , Should statements,tire flat gotten new tire last month,6.6748953,7.7866435,6.6748953,7.7866435,6.6748953,7.7866435,0,17,6,1,1,0,-1,-1,1
293,293,My tire is flat. I must have gotten a new tire last month , Should statements,tire flat must gotten new tire last month,6.5287585,7.7020893,6.5287585,7.7020893,6.5287585,7.7020893,0,17,6,1,1,0,-1,-1,1
294,294,Everyone knows how disorganized and selfish I am , Mind reading,everyone know disorganized selfish,6.959047,5.5084167,6.959047,5.5084167,6.959047,5.5084167,11,4,2,2,0,3,7,-1,1
295,295,I'm completely self-centered and thoughtless , All-or-nothing thinking,im completely selfcentered thoughtless,7.1980076,5.2533083,7.1980076,5.2533083,7.1980076,5.2533083,11,11,2,2,1,2,7,-1,1
296,296,My roommate asked me to clean the apartment. She probably hates me , Mind reading,roommate asked clean apartment probably hate,4.370052,6.097287,4.370052,6.097287,4.370052,6.097287,13,13,15,0,2,1,3,-1,1
297,297,A good mother spends time with her kids on some activity every night , Overgeneralization,good mother spends time kid activity every night,4.2108994,8.2815075,4.2108994,8.2815075,4.2108994,8.2815075,14,12,9,1,2,2,5,17,1
298,298,I'm a total failure , All-or-nothing thinking,im total failure,8.454582,7.238923,8.454582,7.238923,8.454582,7.238923,8,14,4,2,1,0,14,22,1
299,299,I never do anything right , Overgeneralization,never anything right,7.6758666,6.8261204,7.6758666,6.8261204,7.6758666,6.8261204,15,17,4,2,1,0,-1,23,1
300,300,I always do lousy on tests , Overgeneralization,always lousy test,9.569233,7.673546,9.569233,7.673546,9.569233,7.673546,8,5,12,2,3,0,15,7,1
301,301,"The test makes me nervous, so I won't do well on it ", Emotional reasoning,test make nervous wont well,9.886371,7.5642004,9.886371,7.5642004,9.886371,7.5642004,8,5,12,2,3,0,15,7,1
302,302,I'll have to skip this section of the book , Fortune telling,ill skip section book,9.59445,7.321345,9.59445,7.321345,9.59445,7.321345,8,5,4,2,1,4,-1,-1,1
303,303,They made a terrible mistake by choosing me , Mind reading,made terrible mistake choosing,5.9866905,6.0211554,5.9866905,6.0211554,5.9866905,6.0211554,17,6,6,0,2,0,7,-1,1
304,304,My writing is too drab , Catastrophizing,writing drab,8.860823,8.258098,8.860823,8.258098,8.860823,8.258098,8,5,12,1,1,0,11,6,1
305,305,They are not interesting , Labeling,interesting,6.5324163,5.1982117,6.5324163,5.1982117,6.5324163,5.1982117,4,10,16,0,0,3,7,-1,1
306,306,They are boring , Labeling,boring,6.457249,5.146673,6.457249,5.146673,6.457249,5.146673,4,10,16,0,0,3,7,-1,1
307,307,I know this is bad because I feel bored , Emotional reasoning,know bad feel bored,7.3452477,5.689801,7.3452477,5.689801,7.3452477,5.689801,11,15,14,0,1,2,7,13,1
308,308,This party will be a drag , Fortune telling,party drag,5.907087,7.53132,5.907087,7.53132,5.907087,7.53132,12,10,7,1,0,3,1,15,1
309,309,I never get what I want , Overgeneralization,never get want,8.031816,6.8342695,8.031816,6.8342695,8.031816,6.8342695,15,17,4,2,0,4,-1,23,1
310,310,I'll forget what I'm supposed to say , Fortune telling,ill forget im supposed say,7.311824,6.999528,7.311824,6.999528,7.311824,6.999528,7,0,6,2,2,0,-1,-1,1
311,311,My speech isn't any good , All-or-nothing thinking,speech isnt good,7.2901297,7.5189686,7.2901297,7.5189686,7.2901297,7.5189686,7,17,12,2,1,0,-1,-1,1
312,312,My mind will blank out , Fortune telling,mind blank,8.733253,4.7550073,8.733253,4.7550073,8.733253,4.7550073,6,11,14,2,1,4,7,-1,-1
313,313,I'll make a fool of myself , Labeling,ill make fool,9.587277,6.943326,9.587277,6.943326,9.587277,6.943326,7,6,5,2,2,0,-1,-1,-1
314,314,What did I do to foul things up? , Personalization,foul thing,6.5821137,8.021864,6.5821137,8.021864,6.5821137,8.021864,0,0,11,1,2,3,13,31,-1
315,315,I'll never get this done , Fortune telling,ill never get done,8.528018,7.2558537,8.528018,7.2558537,8.528018,7.2558537,15,17,1,2,1,4,14,23,1
316,316,I should be well by now , Should statements,well,8.681722,6.3069367,8.681722,6.3069367,8.681722,6.3069367,15,15,14,2,1,2,-1,-1,1
317,317,I must be well by now , Should statements,must well,8.523312,6.1921644,8.523312,6.1921644,8.523312,6.1921644,15,15,14,2,1,2,-1,-1,1
318,318,I'm not getting anywhere , All-or-nothing thinking,im getting anywhere,8.7274275,6.884457,8.7274275,6.884457,8.7274275,6.884457,15,17,4,2,1,4,14,23,1
319,319,That improvement was a fluke , Disqualifying the positive,improvement fluke,9.15253,8.021962,9.15253,8.021962,9.15253,8.021962,8,5,12,1,3,0,-1,7,1
320,320,I'll never get better , Catastrophizing,ill never get better,8.5680895,6.527183,8.5680895,6.527183,8.5680895,6.527183,15,17,4,2,1,4,-1,23,1
321,321,I just can't control myself , All-or-nothing thinking,cant control,8.764492,4.2988286,8.764492,4.2988286,8.764492,4.2988286,6,11,14,2,1,2,7,28,1
322,322,I must look like a balloon , Labeling,must look like balloon,6.497878,4.2994733,6.497878,4.2994733,6.497878,4.2994733,4,15,16,0,1,2,7,-1,-1
323,323,My dieting and jogging all week have gone down the drain , Disqualifying the positive,dieting jogging week gone drain,10.02201,5.8053107,10.02201,5.8053107,10.02201,5.8053107,9,9,10,2,3,4,0,1,0
324,324,I shouldn't have eaten that , Should statements,shouldnt eaten,5.8061814,8.974146,5.8061814,8.974146,5.8061814,8.974146,0,9,13,1,3,3,13,2,2
325,325,I mustn't have eaten that , Should statements,mustnt eaten,5.7287946,9.046354,5.7287946,9.046354,5.7287946,9.046354,0,9,13,1,3,3,-1,2,2
326,326,I'm going to pig out all weekend , Fortune telling,im going pig weekend,9.883364,6.137425,9.883364,6.137425,9.883364,6.137425,7,17,10,1,2,4,0,-1,0
327,327,I'm a bad mother , Labeling,im bad mother,4.352214,8.200971,4.352214,8.200971,4.352214,8.200971,14,12,9,1,2,2,5,17,1
328,328,"The recruiters didn't call me. I haven't got the job, in the past when I was successful, I was called straight away ", Overgeneralizing,recruiter didnt call havent got job past successful called straight away,8.469914,9.786225,8.469914,9.786225,8.469914,9.786225,5,7,1,1,2,0,10,26,1
329,329,I will end up with no career , Catastrophizing,end career,9.323014,9.720209,9.323014,9.720209,9.323014,9.720209,5,7,1,1,0,0,10,26,1
330,330,I will end up with no money , Catastrophizing,end money,9.480407,9.717495,9.480407,9.717495,9.480407,9.717495,7,7,1,1,0,0,10,26,1
331,331,I haven't got the job , Fortune telling,havent got job,8.651349,9.590099,8.651349,9.590099,8.651349,9.590099,5,7,1,1,2,0,10,26,1
332,332,I spent 3 hours but was only able to make 2 slides. I've wasted all that time , Disqualifying the positive,spent hour able make slide ive wasted time,8.2857275,7.4582367,8.2857275,7.4582367,8.2857275,7.4582367,15,3,12,2,2,0,14,34,1
333,333,Looks like the customer got scared , Mind reading,look like customer got scared,6.2575564,8.5376625,6.2575564,8.5376625,6.2575564,8.5376625,0,9,13,1,3,3,-1,0,-1
334,334,I have made the matters worse , Personalization,made matter worse,6.657981,7.9435744,6.657981,7.9435744,6.657981,7.9435744,0,6,9,1,2,3,13,-1,-1
335,335,A stranger looked at your dress. She thought that I look stupid , Mind reading,stranger looked dress thought look stupid,4.358405,5.7858276,4.358405,5.7858276,4.358405,5.7858276,13,1,8,0,4,1,3,8,1
336,336,I should have never worn these jeans , Should statements,never worn jean,5.907167,8.679868,5.907167,8.679868,5.907167,8.679868,0,0,13,1,3,3,13,3,-1
337,337,I must have never worn these jeans , Should statements,must never worn jean,5.8377895,8.661572,5.8377895,8.661572,5.8377895,8.661572,0,0,13,1,3,3,-1,3,-1
338,338,I almost failed in a subject. I have ruined everything , All-or-nothing thinking,almost failed subject ruined everything,9.331119,7.4658775,9.331119,7.4658775,9.331119,7.4658775,8,5,4,2,3,0,15,22,1
339,339,I only got good grades in two subjects. How could I have done so badly? , Disqualifying the positive,got good grade two subject could done badly,9.701869,7.844096,9.701869,7.844096,9.701869,7.844096,8,5,12,2,3,0,15,7,1
340,340,I am a failure! , Labeling,failure,8.409082,7.0610886,8.409082,7.0610886,8.409082,7.0610886,8,14,4,2,1,0,14,22,1
341,341,I made a mistake in my presentation. People are going to think I am stupid , Mind reading,made mistake presentation people going think stupid,7.0842247,7.5958695,7.0842247,7.5958695,7.0842247,7.5958695,7,0,6,2,2,0,-1,-1,1
342,342,I'm such an idiot , Labeling,im idiot,6.945256,7.993443,6.945256,7.993443,6.945256,7.993443,0,4,6,1,0,0,13,-1,1
343,343,The meal should have been perfect , Should statements,meal perfect,5.5093637,9.15018,5.5093637,9.15018,5.5093637,9.15018,12,9,13,1,3,3,2,2,2
344,344,The meal must have been perfect , Should statements,meal must perfect,5.4571004,9.248997,5.4571004,9.248997,5.4571004,9.248997,12,9,13,1,3,3,2,2,2
345,345,My friends are not replying to my messages. They obviously don't want to be friends with me , Mind reading,friend replying message obviously dont want friend,5.340844,5.669355,5.340844,5.669355,5.340844,5.669355,17,10,7,0,0,3,7,16,1
346,346,My friends are not talking to me. It must be my fault , Personalization,friend talking must fault,5.48181,5.639651,5.48181,5.639651,5.48181,5.639651,17,10,7,0,0,3,7,16,1
347,347,I posted a joke online but none of my friends reacted. I will lose my friends because of this , Catastrophizing,posted joke online none friend reacted lose friend,5.3838143,5.87838,5.3838143,5.87838,5.3838143,5.87838,17,10,7,0,0,3,7,16,1
348,348,"If I am feeling this guilty right now, this must mean that I did something wrong ", Emotional reasoning,feeling guilty right must mean something wrong,7.069347,6.468306,7.069347,6.468306,7.069347,6.468306,0,15,9,2,2,2,-1,-1,1
349,349,Maybe people found my joke offensive , Mind reading,maybe people found joke offensive,5.5782824,6.122436,5.5782824,6.122436,5.5782824,6.122436,17,10,7,0,0,3,7,16,1
350,350,I shouldn't have changed my hair , Should statements,shouldnt changed hair,6.0381293,8.656665,6.0381293,8.656665,6.0381293,8.656665,0,0,13,1,3,3,13,3,-1
351,351,Most of them didn't mention my hair , Catastrophizing,didnt mention hair,6.0253606,8.567212,6.0253606,8.567212,6.0253606,8.567212,0,0,13,1,3,3,-1,-1,-1
352,352,I am a lousy writer , Labeling,lousy writer,8.927199,8.201701,8.927199,8.201701,8.927199,8.201701,8,5,12,1,1,0,11,6,1
353,353,I didn't win so I must be completely rubbish , All-or-nothing thinking,didnt win must completely rubbish,9.234205,8.298056,9.234205,8.298056,9.234205,8.298056,8,5,12,1,1,0,11,6,1
354,354,Being a runner up means nothing , Disqualifying the positive,runner mean nothing,9.232821,8.233768,9.232821,8.233768,9.232821,8.233768,8,5,12,1,1,0,11,6,1
355,355,They probably made everyone a runner up to make people feel better , Mind reading,probably made everyone runner make people feel better,9.196723,8.393842,9.196723,8.393842,9.196723,8.393842,8,5,12,1,1,0,11,7,1
356,356,I will never become a successful writer , Fortune telling,never become successful writer,9.131559,8.336683,9.131559,8.336683,9.131559,8.336683,8,7,1,1,1,0,11,-1,1
357,357,I am an awful person , Labeling,awful person,6.81254,6.1472635,6.81254,6.1472635,6.81254,6.1472635,11,4,9,2,0,2,-1,13,1
358,358,They think that I am a horrible human being , Mind reading,think horrible human,5.9609146,6.113037,5.9609146,6.113037,5.9609146,6.113037,17,10,7,0,0,3,7,14,1
359,359,"I have lost my temper like this in the previous job and was called into a disciplinary meeting, I will probably lose my job over this ", Overgeneralization,lost temper like previous job called disciplinary meeting probably lose job,8.86332,9.949881,8.86332,9.949881,8.86332,9.949881,5,3,1,1,2,0,10,-1,1
360,360,I will probably lose my job over this , Fortune telling,probably lose job,8.992941,9.892114,8.992941,9.892114,8.992941,9.892114,5,7,1,1,0,0,10,26,1
361,361,I feel so anxious maybe I left something turned on in the kitchen , Emotional reasoning,feel anxious maybe left something turned kitchen,5.0528383,9.694079,5.0528383,9.694079,5.0528383,9.694079,12,9,13,1,3,3,2,0,2
362,362,What if something falls on the coffee maker and turns in on , Fortune telling,something fall coffee maker turn,5.1178474,9.8807,5.1178474,9.8807,5.1178474,9.8807,12,9,13,1,3,3,2,0,2
363,363,What if the whole kitchen sets on fire , Catastrophizing,whole kitchen set fire,5.081639,9.779773,5.081639,9.779773,5.081639,9.779773,12,9,13,1,3,3,2,0,2
364,364,My entire house will burn down , Catastrophizing,entire house burn,9.495778,9.635596,9.495778,9.635596,9.495778,9.635596,7,9,13,1,3,3,-1,0,2
365,365,I will be homeless , Catastrophizing,homeless,9.51805,9.711829,9.51805,9.711829,9.51805,9.711829,7,11,1,1,1,0,-1,-1,-1
366,366,The doctor probably just didn't want to let me know , Mind reading,doctor probably didnt want let know,5.924445,7.012158,5.924445,7.012158,5.924445,7.012158,6,15,11,1,3,3,-1,25,1
367,367,They want to see me so this must be really bad , Disqualifying the positive,want see must really bad,5.930709,6.15472,5.930709,6.15472,5.930709,6.15472,17,10,7,0,0,3,7,14,1
368,368,"The color in their work is so much more vibrant, mine doesn't look this good ", Comparing,color work much vibrant mine doesnt look good,6.799253,8.8268585,6.799253,8.8268585,6.799253,8.8268585,16,0,5,1,3,3,-1,3,-1
369,369,I bet people think now that I am a rubbish artist , Mind reading,bet people think rubbish artist,6.7534213,8.874211,6.7534213,8.874211,6.7534213,8.874211,16,0,5,1,3,3,-1,-1,-1
370,370,I shouldn't have posted it , Should statements,shouldnt posted,5.979981,8.875641,5.979981,8.875641,5.979981,8.875641,0,0,13,1,3,3,13,3,2
371,371,Grandma is going to be so angry with me , Mind reading,grandma going angry,4.659441,6.567697,4.659441,6.567697,4.659441,6.567697,3,13,15,0,2,1,3,18,1
372,372,She is probably going to kick me out and never invite me over again , Catastrophizing,probably going kick never invite,4.4568086,6.0639524,4.4568086,6.0639524,4.4568086,6.0639524,13,1,8,0,4,1,3,8,1
373,373,I am such an idiot , Labeling,idiot,6.9330926,7.987219,6.9330926,7.987219,6.9330926,7.987219,0,4,6,1,0,0,13,13,1
374,374,"If I couldn't make this relationship work, I will never succeed at finding a lifelong partner ", Overgeneralization,couldnt make relationship work never succeed finding lifelong partner,4.9006643,4.5219646,4.9006643,4.5219646,4.9006643,4.5219646,10,8,16,0,0,2,3,12,1
375,375,I am unlovable , Labeling,unlovable,6.4566116,4.6450706,6.4566116,4.6450706,6.4566116,4.6450706,4,8,16,0,0,2,7,11,1
376,376,"If she has cheated on me, then every next girl will probably do the same ", Overgeneralization,cheated every next girl probably,3.8341064,5.0420876,3.8341064,5.0420876,3.8341064,5.0420876,13,1,8,0,4,1,3,8,1
377,377,I can't believe I have lost her now , Disqualifying the positive,cant believe lost,4.346833,4.894992,4.346833,4.894992,4.346833,4.894992,13,1,8,0,4,1,3,-1,1
378,378,She will not want to see me again , Fortune telling,want see,4.2254143,4.9874268,4.2254143,4.9874268,4.2254143,4.9874268,13,1,8,0,4,1,3,8,1
379,379,She must think that I am a weirdo , Mind reading,must think weirdo,4.2604175,5.667149,4.2604175,5.667149,4.2604175,5.667149,13,1,8,0,4,1,3,8,1
380,380,I should have ordered a milder dish , Should statements,ordered milder dish,5.250116,9.431248,5.250116,9.431248,5.250116,9.431248,12,9,13,1,3,3,2,2,2
381,381,I must have ordered a milder dish , Should statements,must ordered milder dish,5.2107954,9.43054,5.2107954,9.43054,5.2107954,9.43054,12,9,13,1,3,3,2,2,2
382,382,I'm late again. My boss will be furious with me like he was last week when I was late because I overslept , Overgeneralization,im late bos furious like last week late overslept,7.275663,7.625917,7.275663,7.625917,7.275663,7.625917,7,3,6,1,2,0,12,35,1
383,383,I will lose my job over this , Catastrophizing,lose job,9.053427,9.817192,9.053427,9.817192,9.053427,9.817192,5,7,1,1,0,0,10,26,1
384,384,My present was much smaller in size than the others , Comparing,present much smaller size others,5.535695,7.7515016,5.535695,7.7515016,5.535695,7.7515016,12,13,11,1,2,3,1,-1,-1
385,385,"She said she liked it, but she said that to everyone, so she was probably just trying to be nice ", Disqualifying the positive,said liked said everyone probably trying nice,4.3647366,5.85648,4.3647366,5.85648,4.3647366,5.85648,13,1,8,0,4,1,3,8,1
386,386,I made this so awkward , Emotional reasoning,made awkward,6.6353784,8.012305,6.6353784,8.012305,6.6353784,8.012305,0,0,9,1,2,3,13,-1,-1
387,387,I will get murdered! , Catastrophizing,get murdered,9.0264845,5.3692703,9.0264845,5.3692703,9.0264845,5.3692703,7,11,14,2,1,2,-1,30,-1
388,388,My friend had been robbed last month and they broke in through the kitchen , Overgeneralization,friend robbed last month broke kitchen,5.220742,8.167345,5.220742,8.167345,5.220742,8.167345,3,6,11,1,2,3,-1,24,1
389,389,Something scary is in the kitchen , Emotional reasoning,something scary kitchen,5.0508103,9.77556,5.0508103,9.77556,5.0508103,9.77556,12,9,13,1,3,3,2,0,2
390,390,"I have never done bowling before, so I will definitely be bad at this ", All-or-nothing thinking,never done bowling definitely bad,9.525403,6.8801,9.525403,6.8801,9.525403,6.8801,8,17,7,2,1,3,-1,-1,-1
391,391,Maybe they invited me to make fun of me , Mind reading,maybe invited make fun,5.717809,6.158994,5.717809,6.158994,5.717809,6.158994,17,10,7,0,0,3,7,16,1
392,392,Maybe they knew that I would make a fool of myself , Mind reading,maybe knew would make fool,5.8505,6.286999,5.8505,6.286999,5.8505,6.286999,17,6,7,0,2,3,7,-1,1
393,393,Something bad has happened to him , Catastrophizing,something bad happened,3.477879,6.37088,3.477879,6.37088,3.477879,6.37088,1,12,15,0,2,1,4,-1,-1
394,394,Maybe he doesn't like me anymore , Mind reading,maybe doesnt like anymore,3.4327521,6.167211,3.4327521,6.167211,3.4327521,6.167211,1,16,3,0,0,1,4,8,1
395,395,Maybe doesn't want to be my friend any longer , Mind reading,maybe doesnt want friend longer,3.6064363,5.847961,3.6064363,5.847961,3.6064363,5.847961,13,1,3,0,0,1,4,8,1
396,396,I should have messaged him earlier , Should statements,messaged earlier,3.2110915,6.284271,3.2110915,6.284271,3.2110915,6.284271,1,16,3,0,2,1,4,8,1
397,397,I must message him earlier , Should statements,must message earlier,3.1646695,6.227518,3.1646695,6.227518,3.1646695,6.227518,1,16,3,0,2,1,4,8,1
398,398,I am such a bad friend , Labeling,bad friend,5.2453656,6.0418906,5.2453656,6.0418906,5.2453656,6.0418906,10,4,9,0,0,2,7,13,1
399,399,Her health could decline further , Fortune telling,health could decline,5.2545476,6.7742863,5.2545476,6.7742863,5.2545476,6.7742863,6,15,0,1,1,2,6,25,1
400,400,She could die , Catastrophizing,could die,5.2355814,6.6744585,5.2355814,6.6744585,5.2355814,6.6744585,6,15,0,1,1,2,6,25,1
401,401,I should have visited her more often , Should statements,visited often,4.2541385,5.283338,4.2541385,5.283338,4.2541385,5.283338,13,1,8,0,4,1,3,8,1
402,402,She probably thinks I am the worst grandchild ever , Mind reading,probably think worst grandchild ever,4.47766,6.2608304,4.47766,6.2608304,4.47766,6.2608304,3,12,15,0,2,1,3,-1,1
403,403,I should have spent more time reading reviews before buying , Should statements,spent time reading review buying,6.1523204,8.539255,6.1523204,8.539255,6.1523204,8.539255,0,0,6,1,3,3,13,27,1
404,404,"I can return it and get a different one, but I have wasted so much time ", Disqualifying the positive,return get different one wasted much time,6.7481403,8.100693,6.7481403,8.100693,6.7481403,8.100693,0,0,11,1,2,3,13,-1,1
405,405,My niece's birthday party had twice the amount of people , Comparing,niece birthday party twice amount people,5.705537,7.5772433,5.705537,7.5772433,5.705537,7.5772433,12,10,7,1,0,3,1,15,1
406,406,I bet more people will cancel , Fortune telling,bet people cancel,9.573705,9.711421,9.573705,9.711421,9.573705,9.711421,7,7,7,1,0,3,-1,26,1
407,407,There will be very few people there , Fortune telling,people,5.863526,7.5570235,5.863526,7.5570235,5.863526,7.5570235,12,10,7,1,0,3,1,15,1
408,408,"If there aren't many people there, the party simply can't be a success ", All-or-nothing thinking,arent many people party simply cant success,5.802046,7.537725,5.802046,7.537725,5.802046,7.537725,12,10,7,1,0,3,1,15,1
409,409,"Because I lost the elections, I'm a zero ", All-or-nothing thinking,lost election im zero,7.8520746,6.1387005,7.8520746,6.1387005,7.8520746,6.1387005,11,14,4,2,1,0,7,22,1
410,410,I got a B on my exam. I'm a total failure , All-or-nothing thinking,got b exam im total failure,9.363882,7.5249124,9.363882,7.5249124,9.363882,7.5249124,8,5,12,2,3,0,-1,7,1
411,411,The birds are always crapping on my window , Overgeneralization,bird always crapping window,6.3659678,7.2742205,6.3659678,7.2742205,6.3659678,7.2742205,17,3,11,1,2,3,-1,-1,-1
412,412,I'm never going to get a date , Overgeneralization,im never going get date,6.006626,4.0725536,6.006626,4.0725536,6.006626,4.0725536,4,8,16,0,0,3,7,12,1
413,413,My boss complimented me but they are just being nice , Disqualifying the positive,bos complimented nice,7.6353073,9.2171545,7.6353073,9.2171545,7.6353073,9.2171545,16,3,5,1,2,0,9,36,1
414,414,Getting good marks was a fluke. It doesn't count , Disqualifying the positive,getting good mark fluke doesnt count,9.573945,7.8985963,9.573945,7.8985963,9.573945,7.8985963,8,5,12,2,3,0,15,7,1
415,415,I made a mistake. How terrible , Catastrophizing,made mistake terrible,6.8240767,8.038201,6.8240767,8.038201,6.8240767,8.038201,0,0,6,1,2,0,13,31,1
416,416,I'm always a horrible mother , All-or-nothing thinking,im always horrible mother,4.3396144,8.16165,4.3396144,8.16165,4.3396144,8.16165,14,12,9,1,2,2,5,17,1
417,417,I'm never going to get it together , All-or-nothing thinking,im never going get together,8.44186,6.579201,8.44186,6.579201,8.44186,6.579201,15,17,1,2,1,4,-1,23,1
418,418,My neighbor rushed by me and didn't even acknowledge me. I must have done something wrong , Mind reading,neighbor rushed didnt even acknowledge must done something wrong,5.8491645,8.3044405,5.8491645,8.3044405,5.8491645,8.3044405,3,6,11,1,2,3,-1,-1,1
419,419,"I submitted my application, but I already know they won't call me back for an interview. ", Fortune telling,submitted application already know wont call back interview,8.429985,9.83381,8.429985,9.83381,8.429985,9.83381,5,7,1,1,2,0,10,26,1
420,420,Why did I use that word in that email? I'm sure I'm going to get fired , Catastrophizing,use word email im sure im going get fired,9.006931,9.912322,9.006931,9.912322,9.006931,9.912322,5,7,1,1,0,0,10,26,1
421,421,"Yeah I got a raise, but it's not big deal ", Disqualifying the positive,yeah got raise big deal,7.840575,9.423623,7.840575,9.423623,7.840575,9.423623,16,3,5,1,2,0,9,-1,-1
422,422,"I feel like crap, so I'm probably a crappy person ", Emotional reasoning,feel like crap im probably crappy person,8.124522,5.74025,8.124522,5.74025,8.124522,5.74025,2,2,14,2,1,2,7,-1,1
423,423,I should really exercise more , Should statements,really exercise,9.885052,5.7731667,9.885052,5.7731667,9.885052,5.7731667,9,9,10,2,3,4,0,-1,0
424,424,My brother should have talked to me before he made any decisions about where our family is going , Should statements,brother talked made decision family going,3.8121936,7.447795,3.8121936,7.447795,3.8121936,7.447795,14,13,15,1,2,1,4,-1,1
425,425,I'm so gross , Labeling,im gross,7.2881074,6.277178,7.2881074,6.277178,7.2881074,6.277178,11,4,9,2,0,2,-1,13,1
426,426,He's so inconsiderate , Labeling,he inconsiderate,3.8014543,7.0189443,3.8014543,7.0189443,3.8014543,7.0189443,1,16,17,0,2,1,4,8,1
427,427,I'm a huge nobody , Labeling,im huge nobody,7.271467,5.2782316,7.271467,5.2782316,7.271467,5.2782316,11,4,16,2,0,2,7,9,1
428,428,"They didn't like me, I'm unlovable ", All-or-nothing thinking,didnt like im unlovable,6.2080755,5.014238,6.2080755,5.014238,6.2080755,5.014238,4,8,16,0,0,3,7,-1,1
429,429,Our relationship ended because I was a bad partner , Personalization,relationship ended bad partner,4.849898,4.719175,4.849898,4.719175,4.849898,4.719175,10,16,0,0,0,2,3,8,1
430,430,Our project is slowed down because they never made a point to contact me. This is all their fault , Blaming,project slowed never made point contact fault,7.805531,8.535916,7.805531,8.535916,7.805531,8.535916,16,3,6,1,2,0,-1,-1,1
431,431,We were late to the dinner party and caused the hostess to overcook the meal , Personalization,late dinner party caused hostess overcook meal,5.288295,9.159228,5.288295,9.159228,5.288295,9.159228,12,6,13,1,2,3,2,-1,2
432,432,"If I had only pushed my husband to leave on time, this wouldn't have happened ", Personalization,pushed husband leave time wouldnt happened,3.1557465,7.4959564,3.1557465,7.4959564,3.1557465,7.4959564,1,16,17,0,2,1,4,8,1
433,433,Stop making me feel bad about myself , Blaming,stop making feel bad,7.4300632,5.0328145,7.4300632,5.0328145,7.4300632,5.0328145,11,4,2,2,1,2,7,32,1
434,434,I shouldn't be so lazy , Should statements,shouldnt lazy,7.936065,8.287745,7.936065,8.287745,7.936065,8.287745,7,0,6,2,2,0,-1,-1,1
435,435,"I feel it, therefore it must be true ", Emotional reasoning,feel therefore must true,7.658487,5.917263,7.658487,5.917263,7.658487,5.917263,11,15,0,2,1,2,-1,13,1
436,436,I'm a loser , Labeling,im loser,7.7810197,6.069706,7.7810197,6.069706,7.7810197,6.069706,11,4,4,2,0,0,-1,13,1
437,437,I've blown my diet completely , All-or-nothing thinking,ive blown diet completely,10.016251,5.781333,10.016251,5.781333,10.016251,5.781333,9,9,10,2,3,4,0,1,0
438,438,I feel guilty. I must be a rotten person , Emotional reasoning,feel guilty must rotten person,7.0962324,6.4034925,7.0962324,6.4034925,7.0962324,6.4034925,0,15,9,2,1,2,-1,13,1
439,439,I feel hopeless. I must be hopeless , Emotional reasoning,feel hopeless must hopeless,8.262591,6.001946,8.262591,6.001946,8.262591,6.001946,11,15,4,2,1,2,-1,13,1
440,440,I shouldn't eat that doughnut , Should statements,shouldnt eat doughnut,5.912141,8.846708,5.912141,8.846708,5.912141,8.846708,0,0,13,1,3,3,13,2,2
441,441,He shouldn't have been so stubborn , Should statements,shouldnt stubborn,3.5355647,6.899084,3.5355647,6.899084,3.5355647,6.899084,1,0,17,0,3,1,4,8,1
