,thought,original_label,cleaned_thought
396,I should have messaged him earlier , Should statements,messaged earlier
397,I must message him earlier , Should statements,must message earlier
398,I am such a bad friend , Labeling,bad friend
399,Her health could decline further , Fortune telling,health could decline
400,She could die , Catastrophizing,could die
401,I should have visited her more often , Should statements,visited often
402,She probably thinks I am the worst grandchild ever , Mind reading,probably think worst grandchild ever
403,I should have spent more time reading reviews before buying , Should statements,spent time reading review buying
404,"I can return it and get a different one, but I have wasted so much time ", Disqualifying the positive,return get different one wasted much time
405,My niece's birthday party had twice the amount of people , Comparing,niece birthday party twice amount people
406,I bet more people will cancel , Fortune telling,bet people cancel
407,There will be very few people there , Fortune telling,people
408,"If there aren't many people there, the party simply can't be a success ", All-or-nothing thinking,arent many people party simply cant success
409,"Because I lost the elections, I'm a zero ", All-or-nothing thinking,lost election im zero
410,I got a B on my exam. I'm a total failure , All-or-nothing thinking,got b exam im total failure
411,The birds are always crapping on my window , Overgeneralization,bird always crapping window
412,I'm never going to get a date , Overgeneralization,im never going get date
413,My boss complimented me but they are just being nice , Disqualifying the positive,bos complimented nice
414,Getting good marks was a fluke. It doesn't count , Disqualifying the positive,getting good mark fluke doesnt count
415,I made a mistake. How terrible , Catastrophizing,made mistake terrible
416,I'm always a horrible mother , All-or-nothing thinking,im always horrible mother
417,I'm never going to get it together , All-or-nothing thinking,im never going get together
418,My neighbor rushed by me and didn't even acknowledge me. I must have done something wrong , Mind reading,neighbor rushed didnt even acknowledge must done something wrong
419,"I submitted my application, but I already know they won't call me back for an interview. ", Fortune telling,submitted application already know wont call back interview
420,Why did I use that word in that email? I'm sure I'm going to get fired , Catastrophizing,use word email im sure im going get fired
421,"Yeah I got a raise, but it's not big deal ", Disqualifying the positive,yeah got raise big deal
422,"I feel like crap, so I'm probably a crappy person ", Emotional reasoning,feel like crap im probably crappy person
423,I should really exercise more , Should statements,really exercise
424,My brother should have talked to me before he made any decisions about where our family is going , Should statements,brother talked made decision family going
425,I'm so gross , Labeling,im gross
426,He's so inconsiderate , Labeling,he inconsiderate
427,I'm a huge nobody , Labeling,im huge nobody
428,"They didn't like me, I'm unlovable ", All-or-nothing thinking,didnt like im unlovable
429,Our relationship ended because I was a bad partner , Personalization,relationship ended bad partner
430,Our project is slowed down because they never made a point to contact me. This is all their fault , Blaming,project slowed never made point contact fault
431,We were late to the dinner party and caused the hostess to overcook the meal , Personalization,late dinner party caused hostess overcook meal
432,"If I had only pushed my husband to leave on time, this wouldn't have happened ", Personalization,pushed husband leave time wouldnt happened
433,Stop making me feel bad about myself , Blaming,stop making feel bad
434,I shouldn't be so lazy , Should statements,shouldnt lazy
435,"I feel it, therefore it must be true ", Emotional reasoning,feel therefore must true
436,I'm a loser , Labeling,im loser
437,I've blown my diet completely , All-or-nothing thinking,ive blown diet completely
438,I feel guilty. I must be a rotten person , Emotional reasoning,feel guilty must rotten person
439,I feel hopeless. I must be hopeless , Emotional reasoning,feel hopeless must hopeless
440,I shouldn't eat that doughnut , Should statements,shouldnt eat doughnut
441,He shouldn't have been so stubborn , Should statements,shouldnt stubborn
442,I shouldn't have made so many mistakes , Should statements,shouldnt made many mistake
443,"If only I were better in bed, he wouldn't beat me ", Personalization,better bed wouldnt beat
444,The reason my marriage is so lousy is because my spouse is totally unreasonable , Blaming,reason marriage lousy spouse totally unreasonable
445,I never say the right thing , Overgeneralization,never say right thing
446,Nothing ever goes my way , Overgeneralization,nothing ever go way
447,I felt awkward during my job interview. I am always so awkward , Overgeneralization,felt awkward job interview always awkward
448,My mom is always upset. She would be fine if I did more to help her , Personalization,mom always upset would fine help
449,She probably thinks I'm ugly , Mind reading,probably think im ugly
450,"I feel like a bad friend, therefore I must be a bad friend ", Emotional reasoning,feel like bad friend therefore must bad friend
451,I should always be friendly , Should statements,always friendly
452,I never do a good enough job on anything , All-or-nothing thinking,never good enough job anything
453,"I made a mistake, therefore I'm a failure ", All-or-nothing thinking,made mistake therefore im failure
454,"I ate more than I planned, so I blew my diet completely ", All-or-nothing thinking,ate planned blew diet completely
455,I will fail and it will be unbearable , Fortune telling,fail unbearable
456,"I passed the exam, but I was just lucky ", Disqualifying the positive,passed exam lucky
457,Going to college is not a big deal; anyone can do it , Disqualifying the positive,going college big deal anyone
458,"I feel she loves me, so it must be true ", Emotional reasoning,feel love must true
459,"I am terrified of planes, so it must be dangerous ", Emotional reasoning,terrified plane must dangerous
460,I got a B. This proves how inferior I am , Catastrophizing,got b prof inferior
461,I got an A. It doesn't mean I'm smart , Catastrophizing,got doesnt mean im smart
462,He's thinking I have failed , Mind reading,he thinking failed
463,She thought I didn't know the project , Mind reading,thought didnt know project
464,He knows I do not like to be touched this way , Mind reading,know like touched way
465,"Every time I take a day off from work, it rains ", Overgeneralization,every time take day work rain
466,You only pay attention to me when I cook food , Overgeneralization,pay attention cook food
467,My husband left me because I was a bad wife , Personalization,husband left bad wife
468,I should have been a better mother , Should statements,better mother
469,He should have married Ann instead of Mary , Should statements,married ann instead mary
470,My parents are the ones to blame for my unhappiness , Blaming,parent one blame unhappiness
471,It is my fault that my son married a selfish and uncaring person , Personalization,fault son married selfish uncaring person
472,My father always prefers my elder brother , Comparing,father always prefers elder brother
473,She is more successful than I am , Comparing,successful
474,He thinks I'm an idiot , Mind reading,think im idiot
475,"If I talk, I will mess up and not say what I mean ", Fortune telling,talk mess say mean
476,I will never get into college , Fortune telling,never get college
477,I'm disgusting , Labeling,im disgusting
478,He's horrible , Labeling,he horrible
479,She's irrelevant , Labeling,shes irrelevant
480,"That's what I'm supposed to do, so it doesn't count ", Disqualifying the positive,thats im supposed doesnt count
481,"Those successes were easy, so they don't matter ", Disqualifying the positive,success easy dont matter
482,I fail all the time , Overgeneralization,fail time
483,It was a waste of time , All-or-nothing thinking,waste time
484,I get rejected by everyone , All-or-nothing thinking,get rejected everyone
485,I should do well , Should statements,well
486,My relationship ended because I wasn't fun enough , Personalization,relationship ended wasnt fun enough
487,It was my fault my group got a bad grade , Personalization,fault group got bad grade
488,She's to blame for the way I feel , Blaming,shes blame way feel
489,My parents caused all my problems , Blaming,parent caused problem
490,My teacher is the reason I'm not doing well , Blaming,teacher reason im well
491,"I feel anxious, therefore I must be in danger ", Emotional reasoning,feel anxious therefore must danger
492,Others did better than I did on the test , Comparing,others better test
493,People my age are more successful than I am , Comparing,people age successful
494,I'm unlovable. My friends hang out with me only because they must feel sorry for me , Disqualifying the positive,im unlovable friend hang must feel sorry
495,“I'm a bad person. I only help others because it makes me feel better about myself , Disqualifying the positive,im bad person help others make feel better
496,"I feel sad, therefore I must be depressed ", Emotional reasoning,feel sad therefore must depressed
497,He thinks I'm a loser , Labeling,think im loser
498,I'll fail the exam , Fortune telling,ill fail exam
499,I won't get the job , Fortune telling,wont get job
500,I'm undesirable , Labeling,im undesirable
501,That's what wives are supposed to do. So it doesn't count when she's nice to me , Disqualifying the positive,thats wife supposed doesnt count shes nice
502,I seem to fail at everything , Overgeneralization,seem fail everything
503,The marriage ended because I failed , Personalization,marriage ended failed
504,I did that really badly , All-or-nothing thinking,really badly
505,Everything always goes badly for me , Overgeneralization,everything always go badly
506,Mary doesn't like me at all , Mind reading,mary doesnt like
507,I should have completed everything I planned to do , Should statements,completed everything planned
508,I'm pathetic , Labeling,im pathetic
509,That was really a terrible day , Catastrophizing,really terrible day
510,I didn't get all my work done today again. I'll get the sack , Catastrophizing,didnt get work done today ill get sack
511,I made a real fool of myself at that party , Labeling,made real fool party
512,My husband didn't eat that chocolate cake I baked for him. He thinks I'm a terrible cook , Mind reading,husband didnt eat chocolate cake baked think im terrible cook
513,That was a terrible mistake; I'll never learn to do this properly , Overgeneralization,terrible mistake ill never learn properly
514,I must make a good impression at this party , Should statements,must make good impression party
515,I was so irritable with the children this morning. I'm a terrible mother and a wicked person , Overgeneralization,irritable child morning im terrible mother wicked person
516,I can't stand being alone now that Jane has gone , Disqualifying the positive,cant stand alone jane gone
517,I must be really stupid to have these distorted thoughts , Personalization,must really stupid distorted thought
518,Mary doesn't like me at all. She would never have shouted at me like that if she did , Personalization,mary doesnt like would never shouted like
519,I'll never be able to face them again , Catastrophizing,ill never able face
520,I'll never manage to stand up for myself. I never have , Catastrophizing,ill never manage stand never
521,"If I'm not a total success, I'm a failure ", All-or-nothing thinking,im total success im failure
522,"I'll be so upset, I won't be able to function at all ", Catastrophizing,ill upset wont able function
523,"I did that project well, but that doesn't mean I'm competent; I just got lucky ", Disqualifying the positive,project well doesnt mean im competent got lucky
524,Getting a mediocre evaluation proves how inadequate I am , Catastrophizing,getting mediocre evaluation prof inadequate
525,Getting high marks doesn't mean I am smart , Disqualifying the positive,getting high mark doesnt mean smart
526,I was so uncomfortable talking to this person. I don't have what it takes to make friends , Overgeneralization,uncomfortable talking person dont take make friend
527,The repairman was curt to me because I did something wrong , Personalization,repairman curt something wrong
528,I should always do my best , Should statements,always best
529,My son's teacher cannot do anything right , Blaming,son teacher cannot anything right
530,"If I did not have friends, I would be lonely ", All-or-nothing thinking,friend would lonely
531,going to fail at my interview , Fortune telling,going fail interview
532,i'm worried that i won't develop better discipline , Fortune telling,im worried wont develop better discipline
533,what if we never get engaged , Overgeneralization,never get engaged
534,i'll never lose enough weight to look skinny , Fortune telling,ill never lose enough weight look skinny
535,"i'm so weak, helpless and out of control ", Labeling,im weak helpless control
536,i'm going to be lonely forever , Overgeneralization,im going lonely forever
537,my parents don't love me and they never will , Overgeneralization,parent dont love never
538,"if i can't pass in college, i can't get a good job, or a good life ", All-or-nothing thinking,cant pas college cant get good job good life
539,that i am alone and always will be , Overgeneralization,alone always
540,i am unwanted , Labeling,unwanted
541,not being smart enough , All-or-nothing thinking,smart enough
542,lack of sexual interest from my significant other , Blaming,lack sexual interest significant
543,i hate to be told anything , Overgeneralization,hate told anything
544,what if i stop breathing for no reason? , Catastrophizing,stop breathing reason
545,what if I die , Catastrophizing,die
546,I will die , Catastrophizing,die
547,someday i'll stop trying , Catastrophizing,someday ill stop trying
548,feeling unworthy , Labeling,feeling unworthy
549,i'm never going to live a normal life , Overgeneralization,im never going live normal life
550,about my boyfriend if he's cheating on me again , Mind reading,boyfriend he cheating
551,the worthlessness of life , Disqualifying the positive,worthlessness life
552,"everyone hates me, including me ", Overgeneralization,everyone hate including
553,i should be sleeping , Should statements,sleeping
554,afraid something i did will hurt me , Fortune telling,afraid something hurt
555,i overthink the worst possibility to happen , Catastrophizing,overthink worst possibility happen
556,i can't ever relax , Overgeneralization,cant ever relax
557,always going to be lonely , Overgeneralization,always going lonely
558,i dont have a full purpose , All-or-nothing thinking,dont full purpose
559,I don't have enough willpower , Overgeneralization,dont enough willpower
560,I might lose my job , Catastrophizing,might lose job
561,I am not a good person in society , Labeling,good person society
562,This person is not my boss and is not even providing accurate information! Why are they acting like this? , Mind reading,person bos even providing accurate information acting like
563,Because other did better than me , Comparing,better
564,I should have behaved differently , Should statements,behaved differently
565,I don't think I can get all my work done today , Fortune telling,dont think get work done today
566,I could get fired , Catastrophizing,could get fired
567,She doesn't like the way I look , Mind reading,doesnt like way look
568,"My girlfriend wasnt texting anyone, and did not get me anniversary present I am scared my girlfriend is going to break up with me because I dont do much for her. ", Catastrophizing,girlfriend wasnt texting anyone get anniversary present scared girlfriend going break dont much
569,I am unable to give my children any time A good mother spends time with her kids on some activity every night , Overgeneralizing,unable give child time good mother spends time kid activity every night
570,Would my death have an impact on people? Like is there anyone on here that's had someone close to them commit suicide and knows what it's like? Would anyone care if I died? , Overgeneralizing,would death impact people like anyone thats someone close commit suicide know like would anyone care died
571,Stomach ache every day I might be having a serious illness , Catastrophizing,stomach ache every day might serious illness
572,My son threw a tantrum at an indoor playground and I had to carry him out kicking and screaming I'm a bad mom , Labeling,son threw tantrum indoor playground carry kicking screaming im bad mom
573,im scared of the human mind i cant trust people , Emotional reasoning,im scared human mind cant trust people
574,Being transgender I'm not who I want to be. I hate my appearance and my voice. , Catastrophizing,transgender im want hate appearance voice
575,I made very good English presentation but I got nervous because of the amount of people and I forgot my text I'm scared to present in front of other people and I panic , Catastrophizing,made good english presentation got nervous amount people forgot text im scared present front people panic
576,"i still can't speak or understand korean, even after 6 months here i'm not good enough ", Overgeneralizing,still cant speak understand korean even month im good enough
577,My manager is giving more responsibilities to another co-worker. I deserve more than the other co-worker to get more responsibilities. , Personalizing,manager giving responsibility another coworker deserve coworker get responsibility
578,My husband did something for me even if it's clear I didn't want it. I don't know why I keep trying. I should just give up. Surrender. Sleep forever. , Catastrophizing,husband something even clear didnt want dont know keep trying give surrender sleep forever
579,I get so annoyed and frustrated when my baby cries i am a terrible mom , Negative feeling or emotion,get annoyed frustrated baby cry terrible mom
580,Breakup after loving truly. I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking , Emotional reasoning,breakup loving truly scared future life sorrow breakup didnt feel light overthinking
581,My wife has left me. I'm going to be alone , Catastrophizing,wife left im going alone
582,I applied for a job and just got a call saying I didn't get the job. I am not good enough for anyone. , Labeling,applied job got call saying didnt get job good enough anyone
583,I'm late for the meeting This shows what a jerk I am , Labeling,im late meeting show jerk
584,I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor. There was no need to even say anything it was very minor. , Catastrophizing,complaint work felt unnecessary bring attention minor need even say anything minor
585,I was on a date and started to cough badly as the food was too hot I should have ordered a milder dish , Should statements,date started cough badly food hot ordered milder dish
586,My first boyfriend and I broke up. My partner will leave me if my depression doesn't go away soon. , Fortune telling,first boyfriend broke partner leave depression doesnt go away soon
587,A potential client decided to work with another company I failed our company & myself , Personalizing,potential client decided work another company failed company
588,"I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours. I worried that she might break up with me and that I'd never see her again. ", Catastrophizing,disagreement finance partner home week ago caused leave apartment talk call text hour worried might break id never see
589,I am trying to write up an essay and can't think of anything I'm wasting all my time , All-or-nothing thinking,trying write essay cant think anything im wasting time
590,"I posted a joke online and none of my friends reacted Maybe my friends found the joke offensive, I'll lose some friends because of this ", Catastrophizing,posted joke online none friend reacted maybe friend found joke offensive ill lose friend
591,I have a flight in the evening Something will go wrong on my flight today , Fortune telling,flight evening something go wrong flight today
592,"I had a fight with my husband My best friend doesn't fight with my husband this much, so I must be doing something wrong ", Comparing and Despairing,fight husband best friend doesnt fight husband much must something wrong
593,I do gas stations audits and I messed up and forgot something I was supposed to do I felt like a failure and am ashamed I made this mistake , All-or-nothing thinking,gas station audit messed forgot something supposed felt like failure ashamed made mistake
594,My diet is not working I feel like a failure , Emotional reasoning,diet working feel like failure
595,I was unable to visit my Mother in the hospital in another state. I am the worst daughter in the world. , Labeling,unable visit mother hospital another state worst daughter world
596,I'm late for the meeting I never do anything right , Overgeneralizing,im late meeting never anything right
597,I ask out a co-worker who I became fond of recently but was turned down. I'm not good enough for her. , Negative feeling or emotion,ask coworker became fond recently turned im good enough
598,I was on a coffee break and my boss reminded me of work that needs to get done. My boss must think I'm lazy. , Mind reading,coffee break bos reminded work need get done bos must think im lazy
599,A neighbor borrowed my smartphone charger and never returned it. he took me for granted! , Personalizing,neighbor borrowed smartphone charger never returned took granted
600,My husband could not understand why I was upset with him. I don't understand why he can't see that he overreacted. , All-or-nothing thinking,husband could understand upset dont understand cant see overreacted
601,"After I complained about not spending time together, my boyfriend did not want to go on a date last weekend. He doesn't love me. ", Overgeneralizing,complained spending time together boyfriend want go date last weekend doesnt love
602,"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam. He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring. ", Labeling,im hanging friend chit chatting realizing he putting much effort like usual good conversation repeat thing ad nauseam he nice guy dont want friend he putting effort completely boring
603,"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours. Why would you wait until the last minute to ask me this. ", Catastrophizing,time running short workday bos asks finish task require stay extra hour would wait last minute ask
604,I saw my friend comment on an Instagram post when he's been ignoring me. My friend doesn't like me anymore. , Personalizing,saw friend comment instagram post he ignoring friend doesnt like anymore
605,I missed a personal deadline for a project a friend asked me to help with. I made a deadline and missed it. , Negative feeling or emotion,missed personal deadline project friend asked help made deadline missed
606,My mom cooked me breakfast and the eggs which she knows i like over medium were over cooked. I became very upset. frustration , Disqualifying the Positive,mom cooked breakfast egg know like medium cooked became upset frustration
607,My friend and I had made plans months ago to go to a basketball game. The day before the game he calls me and says he cant go because he forgot he made plans with his wife. I started yelling at him and told him these tickets were expensive and you promised me. I was really angry for cancelling last minute because he has done this in the past I get upset when people cant keep there promises. The plans he made were not that critical. Why put me in a tough bind , Blaming,friend made plan month ago go basketball game day game call say cant go forgot made plan wife started yelling told ticket expensive promised really angry cancelling last minute done past get upset people cant keep promise plan made critical put tough bind
608,My grandma died a few years ago and my aunt recently had major surgery. I'm scared of losing loved ones , Catastrophizing,grandma died year ago aunt recently major surgery im scared losing loved one
609,I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared I can't be a mother , Emotional reasoning,im afraid pregnancy think im mentally emotionally prepared cant mother
610,I saw a profile picture of a close friend on a dating app that I had feelings for. I am not the kind of person that she would like to go out with. , Mind reading,saw profile picture close friend dating app feeling kind person would like go
611,I am trying to diet but I gained weight this week. I don't have the discipline to diet. , Catastrophizing,trying diet gained weight week dont discipline diet
612,My husband cancelled our wedding anniversary dinner. The thought that he does not care about me anymore. , Overgeneralizing,husband cancelled wedding anniversary dinner thought care anymore
613,"I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement? I feel like a bad wife and mom ", Emotional reasoning,depression anxiety past week especially tough depression wise due control stressor spent lot time bed kid school bare minimum meanwhile supportive husband picking slack feel though nearly contribute household chore much though thank constantly work word wisdom encouragement feel like bad wife mom
614,I tried to advertise my business more but have gotten zero leads from it. I am not good at what I do. , All-or-nothing thinking,tried advertise business gotten zero lead good
615,I came home to find my spouse had taken all of his things and left a note saying our marriage was over. My marriage is over. , Overgeneralizing,came home find spouse taken thing left note saying marriage marriage
616,A week ago me and my GF were trying to find a store in a nearby town but we got lost. We won't be able to find the store before it closes. , Fortune telling,week ago gf trying find store nearby town got lost wont able find store close
617,My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home. My girlfriend is hiding something from me. , Emotional reasoning,girlfriend came home later usual work didnt bother call let know answer phone called check acted like big deal came home girlfriend hiding something
618,"My wife, asked me very kindly, to finally clean the bathroom shower in our bathroom, and I got upset by this. I'm busy doing something else, it's not like I haven't tried to get to that chore! ", Negative feeling or emotion,wife asked kindly finally clean bathroom shower bathroom got upset im busy something else like havent tried get chore
619,I yelled at my sister for not doing something correctly There will never be enough time to get everything done , All-or-nothing thinking,yelled sister something correctly never enough time get everything done
620,My wife sat me down and said she needed me to make more money because she is tired of paying rent by herself i was letting her down and she felt pressured by my actions , Mind reading,wife sat said needed make money tired paying rent letting felt pressured action
621,I was in my grandma's house and I knocked the vase on the floor Grandma will be so angry at me , Fortune telling,grandma house knocked vase floor grandma angry
622,An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively. I'm not smart enough to succeed at mturk , All-or-nothing thinking,mturk requester rejected task wasnt sure work hard task new affected approval rating negatively im smart enough succeed mturk
623,"My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting. If I cannot control her now, I have lost her perhaps forever ", Overgeneralizing,daughter refused anything instructed embarrassed greatly guest hosting cannot control lost perhaps forever
624,A potential client decided to work with another company. I failed our company & myself. , All-or-nothing thinking,potential client decided work another company failed company
625,I can't do anything right and I'm crying over spilling cereal on my bed and dress I'm worthless , Catastrophizing,cant anything right im cry spilling cereal bed dress im worthless
626,Don't have a job I'm a failure , Negative feeling or emotion,dont job im failure
627,They did not convert me as permanent at work I'm a failure , Labeling,convert permanent work im failure
628,"I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed. I am a problem. ", Labeling,feel everyone becoming distant including boyfriend cheated even week ago cant bring leave matter care family ever im annoying never happy anything hate want happy want good person feel heart breaking cone realization wanted needed problem
629,I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain. I am crazy. , Labeling,know angry time like little monster head make want abandon everything hide everyone lash anymore hate brain crazy
630,I thought that my sister had taken some money from my house when she'd come over to visit. I cannot trust my sister anymore. , Blaming,thought sister taken money house shed come visit cannot trust sister anymore
631,I've been a massive bummer in my personal life and am making people feel bad I'm worthless , Labeling,ive massive bummer personal life making people feel bad im worthless
632,"I was passed over for a new job with a larger company. I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I. ", Personalizing,passed new job larger company qualification experience job yet passed someone else le experience
633,I posted a new piece of artwork online and people started comparing it with artwork created by others I shouldn't have posted it , Personalizing,posted new piece artwork online people started comparing artwork created others shouldnt posted
634,I made a goal to quit smoking and failed I keep failing at this , Overgeneralizing,made goal quit smoking failed keep failing
635,I burnt the potatoes while cooking I should have been perfect , Should statements,burnt potato cooking perfect
636,My girlfriend is getting a new job in a distant city. This is going to cause us to break up. , Fortune telling,girlfriend getting new job distant city going cause u break
637,"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough. I'm working on this as fast as I possibly can ", Comparing and Despairing,working project work long time higher manager contacted bos asked insinuating wasnt delivering fast enough im working fast possibly
638,Threw a conniption when unable to complete an Amigurumi project for my niece. I am unable to do this simply damned thing. , All-or-nothing thinking,threw conniption unable complete amigurumi project niece unable simply damned thing
639,"I did a poor job organizing a meeting, but it turned out to not be a big deal. I am not a good project manager. ", Labeling,poor job organizing meeting turned big deal good project manager
640,My wife didn't look up from her phone or answer me when I came to talk to her. Am I not worth her time? , Labeling,wife didnt look phone answer came talk worth time
641,I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him. I am not good enough. , Labeling,phone boyfriend got call line assumed another girl calling good enough
642,I talk to a close friend online every day because we live in different states. We share a lot about our lives and our messages are usually pretty long. My friend asked me to stop messaging for a while because they felt overwhelmed and wouldn't be able to respond but wanted to at a later time I'm annoying and oversharing , Overgeneralizing,talk close friend online every day live different state share lot life message usually pretty long friend asked stop messaging felt overwhelmed wouldnt able respond wanted later time im annoying oversharing
643,i ate too much and too fast to temporarily please myself but not because i felt hunger i am not able to control my eating habits , Negative feeling or emotion,ate much fast temporarily please felt hunger able control eating habit
644,I couldn't find my bank card and realized my husband must have taken it. He shouldn't have taken it without asking me first. , Blaming,couldnt find bank card realized husband must taken shouldnt taken without asking first
645,I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial. What am I doing to deserve this? , Emotional reasoning,told dont look attractive used significant told like way dressing lately go back old style dressing recall feeling embarrassed let felt tiny though relationship falling apart starting become superficial deserve
646,My husband got two tickets to a Bruins game the other day and rather than asking me if I wanted to go with him he invited a friend. My husband doesn't want to spend time with me. , Mind reading,husband got two ticket bruin game day rather asking wanted go invited friend husband doesnt want spend time
647,"A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work. We will not be able to complete the work that needs to be done ", Catastrophizing,new policy work established required cooperation effort another department order meet new requirement took initiative set meeting talk new role meeting verbal agreement made drafted memorandum agreement outlining verbal agreement day later department refused participate want extra work able complete work need done
648,I was reprimanded at work for standing up to a coworker who was bullying another co-worker. It was unfair that I was the one to get in trouble for defending a weaker person. , Blaming,reprimanded work standing coworker bullying another coworker unfair one get trouble defending weaker person
649,"I have been studying for months for the real estate exam. When I went to take it, I did not pass by two points. I really have to pass, I need to work. ", Negative feeling or emotion,studying month real estate exam went take pas two point really pas need work
650,I hurt my families feelings by canceling the trip they had planned to come to see me. I should have made time for them. , Should statements,hurt family feeling canceling trip planned come see made time
651,Someone started a rumor that I'd been banned from an online community when in fact I hadn't. Many people chose to attack my character and one person called me a bully. When I dispelled the rumor and defended myself I was denied an opportunity to defend myself and insulted further. I am a bad person. , Labeling,someone started rumor id banned online community fact hadnt many people chose attack character one person called bully dispelled rumor defended denied opportunity defend insulted bad person
652,I am trying to help my son pay his bills and find a job. He does not appreciate anything I do for him. , Overgeneralizing,trying help son pay bill find job appreciate anything
653,I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise. Does he not care what I am saying? , Overgeneralizing,talking boyfriend lunch break started clean computer canned air made loud noise care saying
654,I tried to make a business but I lose I'll never be able to do anything , Fortune telling,tried make business lose ill never able anything
655,My dad is in the next room in his hospice bed and im afraid of not doing everything right. Am I doing enough , Negative feeling or emotion,dad next room hospice bed im afraid everything right enough
656,I tried a new hair style but no one commented on it I shouldn't have changed my hair , Should statements,tried new hair style one commented shouldnt changed hair
657,Our group project did not receive a high grade It was my fault my group got a bad grade , Disqualifying the Positive,group project receive high grade fault group got bad grade
658,I sent a message to my friend and they did not reply It must be my fault , Personalizing,sent message friend reply must fault
659,I was up for a promotion at work and did not receive it. I will be stuck in middle-management for the remainder of my career. , Catastrophizing,promotion work receive stuck middlemanagement remainder career
660,I failed to convince my son that he should go back to college I am failing as a parent , Labeling,failed convince son go back college failing parent
661,I didn't get as good of feedback on a work assignment as I wanted I didn't do as good a job as I thought , Catastrophizing,didnt get good feedback work assignment wanted didnt good job thought
662,I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room. My husband was being a jerk and not listening to me. , Personalizing,talking husband something happened day kept interrupting talking got left room husband jerk listening
663,I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process. I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself , Personalizing,applied new parttime position took qualifying exam didnt pas changed guideline job warned u beforehand may happen hiring process thought studied harder knew enough information would pas matter standard changed fault didnt try hard enough furious
664,"The guy I'm dating went home early one night and I got upset because I thought it meant he didn't want to see me anymore, but I was wrong. I guess he doesn't like me anymore ", Mind reading,guy im dating went home early one night got upset thought meant didnt want see anymore wrong guess doesnt like anymore
665,i celebrated a past holiday by myself why don't i have friends? why am i not social? SIGH! , All-or-nothing thinking,celebrated past holiday dont friend social sigh
666,I run a business with my close friend and we were taking work-related photos at their house. I took the memory card home but lost it while I was walking. My friend is going to be angry with me , Mind reading,run business close friend taking workrelated photo house took memory card home lost walking friend going angry
667,I called a woman I love by accident during a bad time She will never love me now , Mind reading,called woman love accident bad time never love
668,"I confronted a coworker about eating my food from the refrigerator, only to realize the custodians threw away my food the night before. My coworkers are making fun of me now ", Mind reading,confronted coworker eating food refrigerator realize custodian threw away food night coworkers making fun
669,I took part in a writing competition and I lost I will never become a successful writer , Fortune telling,took part writing competition lost never become successful writer
670,Three days have passed since my job interview and I didn't receive any updates I didn't get the job , Fortune telling,three day passed since job interview didnt receive update didnt get job
